season,round,circuit_id,driver,nationality,constructor,grid,status,points,podium,weather_warm,weather_cold,weather_wet,weather_cloudy,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,driver_age
2014,6,monaco,perez,Mexican,aston_martin,10,Incident,0.0,21,0,0,0,0,20.0,0.0,10.0,57.0,0.0,4.0,24
2014,6,monaco,maldonado,Venezuelan,alpine,15,Incident,0.0,22,0,0,0,0,0.0,0.0,20.0,4.0,0.0,8.0,29
2014,7,villeneuve,ricciardo,Australian,red_bull,6,Finished,25.0,1,0,0,0,0,54.0,0.0,4.0,99.0,0.0,2.0,24
2014,7,villeneuve,rosberg,German,mercedes,1,Finished,18.0,2,0,0,0,0,122.0,2.0,1.0,240.0,6.0,1.0,28
2014,7,villeneuve,vettel,German,red_bull,3,Finished,15.0,3,0,0,0,0,45.0,0.0,6.0,99.0,0.0,2.0,26
2014,7,villeneuve,button,British,mclaren,9,Finished,12.0,4,0,0,0,0,31.0,0.0,8.0,52.0,0.0,5.0,34
2014,7,villeneuve,hulkenberg,German,aston_martin,11,Finished,10.0,5,0,0,0,0,47.0,0.0,5.0,67.0,0.0,4.0,26
2014,7,villeneuve,alonso,Spanish,ferrari,7,Finished,8.0,6,0,0,0,0,61.0,0.0,3.0,78.0,0.0,3.0,32
2014,7,villeneuve,bottas,Finnish,williams,4,Finished,6.0,7,0,0,0,0,34.0,0.0,7.0,52.0,0.0,6.0,24
2014,7,villeneuve,vergne,French,alphatauri,8,Finished,4.0,8,0,0,0,0,4.0,0.0,14.0,8.0,0.0,8.0,24
2014,7,villeneuve,kevin_magnussen,Danish,mclaren,12,Finished,2.0,9,0,0,0,0,21.0,0.0,9.0,52.0,0.0,5.0,21
2014,7,villeneuve,raikkonen,Finnish,ferrari,10,Finished,1.0,10,0,0,0,0,17.0,0.0,12.0,78.0,0.0,3.0,34
2014,7,villeneuve,perez,Mexican,aston_martin,13,Incident,0.0,11,0,0,0,0,20.0,0.0,10.0,67.0,0.0,4.0,24
2014,7,villeneuve,massa,Brazilian,williams,5,Incident,0.0,12,0,0,0,0,18.0,0.0,11.0,52.0,0.0,6.0,33
2014,7,villeneuve,sutil,German,alfa,16,Finished,0.0,13,0,0,0,0,0.0,0.0,18.0,0.0,0.0,10.0,31
2014,7,villeneuve,gutierrez,Mexican,alfa,22,Mechanical Issue,0.0,14,0,0,0,0,0.0,0.0,19.0,0.0,0.0,10.0,22
2014,7,villeneuve,grosjean,French,alpine,14,Mechanical Issue,0.0,15,0,0,0,0,8.0,0.0,13.0,8.0,0.0,7.0,28
2014,7,villeneuve,kvyat,Russian,alphatauri,15,Mechanical Issue,0.0,16,0,0,0,0,4.0,0.0,15.0,8.0,0.0,8.0,20
2014,7,villeneuve,hamilton,British,mercedes,2,Mechanical Issue,0.0,17,0,0,0,0,118.0,4.0,2.0,240.0,6.0,1.0,29
2014,7,villeneuve,kobayashi,Japanese,caterham,21,Mechanical Issue,0.0,18,0,0,0,0,0.0,0.0,21.0,0.0,0.0,11.0,27
2014,7,villeneuve,maldonado,Venezuelan,alpine,17,Mechanical Issue,0.0,19,0,0,0,0,0.0,0.0,22.0,8.0,0.0,7.0,29
2014,7,villeneuve,ericsson,Swedish,caterham,20,Mechanical Issue,0.0,20,0,0,0,0,0.0,0.0,17.0,0.0,0.0,11.0,23
2014,7,villeneuve,chilton,British,manor,18,Incident,0.0,21,0,0,0,0,0.0,0.0,20.0,2.0,0.0,9.0,23
2014,7,villeneuve,jules_bianchi,French,manor,19,Incident,0.0,22,0,0,0,0,2.0,0.0,16.0,2.0,0.0,9.0,24
2014,8,red_bull_ring,rosberg,German,mercedes,3,Finished,25.0,1,1,0,0,0,140.0,2.0,1.0,258.0,6.0,1.0,28
2014,8,red_bull_ring,hamilton,British,mercedes,9,Finished,18.0,2,1,0,0,0,118.0,4.0,2.0,258.0,6.0,1.0,29
2014,8,red_bull_ring,bottas,Finnish,williams,2,Finished,15.0,3,1,0,0,0,40.0,0.0,8.0,58.0,0.0,6.0,24
2014,8,red_bull_ring,massa,Brazilian,williams,1,Finished,12.0,4,1,0,0,0,18.0,0.0,11.0,58.0,0.0,6.0,33
2014,8,red_bull_ring,alonso,Spanish,ferrari,4,Finished,10.0,5,1,0,0,0,69.0,0.0,4.0,87.0,0.0,3.0,32
2014,8,red_bull_ring,perez,Mexican,aston_martin,15,Finished,8.0,6,1,0,0,0,20.0,0.0,10.0,77.0,0.0,4.0,24
2014,8,red_bull_ring,kevin_magnussen,Danish,mclaren,6,Finished,6.0,7,1,0,0,0,23.0,0.0,9.0,66.0,0.0,5.0,21
2014,8,red_bull_ring,ricciardo,Australian,red_bull,5,Finished,4.0,8,1,0,0,0,79.0,1.0,3.0,139.0,1.0,2.0,24
2014,8,red_bull_ring,hulkenberg,German,aston_martin,10,Finished,2.0,9,1,0,0,0,57.0,0.0,6.0,77.0,0.0,4.0,26
2014,8,red_bull_ring,raikkonen,Finnish,ferrari,8,Finished,1.0,10,1,0,0,0,18.0,0.0,12.0,87.0,0.0,3.0,34
2014,8,red_bull_ring,button,British,mclaren,11,Finished,0.0,11,1,0,0,0,43.0,0.0,7.0,66.0,0.0,5.0,34
2014,8,red_bull_ring,maldonado,Venezuelan,alpine,13,Finished,0.0,12,1,0,0,0,0.0,0.0,22.0,8.0,0.0,8.0,29
2014,8,red_bull_ring,sutil,German,alfa,16,Finished,0.0,13,1,0,0,0,0.0,0.0,17.0,0.0,0.0,10.0,31
2014,8,red_bull_ring,grosjean,French,alpine,22,Finished,0.0,14,1,0,0,0,8.0,0.0,13.0,8.0,0.0,8.0,28
2014,8,red_bull_ring,jules_bianchi,French,manor,18,Finished,0.0,15,1,0,0,0,2.0,0.0,16.0,2.0,0.0,9.0,24
2014,8,red_bull_ring,kobayashi,Japanese,caterham,19,Finished,0.0,16,1,0,0,0,0.0,0.0,21.0,0.0,0.0,11.0,27
2014,8,red_bull_ring,chilton,British,manor,21,Finished,0.0,17,1,0,0,0,0.0,0.0,20.0,2.0,0.0,9.0,23
2014,8,red_bull_ring,ericsson,Swedish,caterham,20,Finished,0.0,18,1,0,0,0,0.0,0.0,18.0,0.0,0.0,11.0,23
2014,8,red_bull_ring,gutierrez,Mexican,alfa,17,Finished,0.0,19,1,0,0,0,0.0,0.0,19.0,0.0,0.0,10.0,22
2014,8,red_bull_ring,vergne,French,alphatauri,14,Mechanical Issue,0.0,20,1,0,0,0,8.0,0.0,14.0,12.0,0.0,7.0,24
2014,8,red_bull_ring,vettel,German,red_bull,12,Mechanical Issue,0.0,21,1,0,0,0,60.0,0.0,5.0,139.0,1.0,2.0,26
2014,8,red_bull_ring,kvyat,Russian,alphatauri,7,Mechanical Issue,0.0,22,1,0,0,0,4.0,0.0,15.0,12.0,0.0,7.0,20
2014,9,silverstone,hamilton,British,mercedes,6,Finished,25.0,1,0,0,0,1,136.0,4.0,2.0,301.0,7.0,1.0,29
2014,9,silverstone,bottas,Finnish,williams,14,Finished,18.0,2,0,0,0,1,55.0,0.0,7.0,85.0,0.0,5.0,24
2014,9,silverstone,ricciardo,Australian,red_bull,8,Finished,15.0,3,0,0,0,1,83.0,1.0,3.0,143.0,1.0,2.0,25
2014,9,silverstone,button,British,mclaren,3,Finished,12.0,4,0,0,0,1,43.0,0.0,8.0,72.0,0.0,6.0,34
2014,9,silverstone,vettel,German,red_bull,2,Finished,10.0,5,0,0,0,1,60.0,0.0,5.0,143.0,1.0,2.0,27
2014,9,silverstone,alonso,Spanish,ferrari,16,Finished,8.0,6,0,0,0,1,79.0,0.0,4.0,98.0,0.0,3.0,32
2014,9,silverstone,kevin_magnussen,Danish,mclaren,5,Finished,6.0,7,0,0,0,1,29.0,0.0,10.0,72.0,0.0,6.0,21
2014,9,silverstone,hulkenberg,German,aston_martin,4,Finished,4.0,8,0,0,0,1,59.0,0.0,6.0,87.0,0.0,4.0,26
2014,9,silverstone,kvyat,Russian,alphatauri,9,Finished,2.0,9,0,0,0,1,4.0,0.0,15.0,12.0,0.0,7.0,20
