,Unnamed: 0,season,round,circuit_id,lat,long,country,date,url
143,1040,2021,6,baku,40.3725,49.8533,Azerbaijan,2021-06-06,http://en.wikipedia.org/wiki/2021_Azerbaijan_Grand_Prix
144,1041,2021,7,ricard,43.2506,5.79167,France,2021-06-20,http://en.wikipedia.org/wiki/2021_French_Grand_Prix
145,1042,2021,8,red_bull_ring,47.2197,14.7647,Austria,2021-06-27,http://en.wikipedia.org/wiki/2021_Styrian_Grand_Prix
146,1043,2021,9,red_bull_ring,47.2197,14.7647,Austria,2021-07-04,http://en.wikipedia.org/wiki/2021_Austrian_Grand_Prix
147,1044,2021,10,silverstone,52.0786,-1.01694,UK,2021-07-18,http://en.wikipedia.org/wiki/2021_British_Grand_Prix
148,1045,2021,11,hungaroring,47.5789,19.2486,Hungary,2021-08-01,http://en.wikipedia.org/wiki/2021_Hungarian_Grand_Prix
149,1046,2021,12,spa,50.4372,5.97139,Belgium,2021-08-29,http://en.wikipedia.org/wiki/2021_Belgian_Grand_Prix
150,1047,2021,13,zandvoort,52.3888,4.54092,Netherlands,2021-09-05,http://en.wikipedia.org/wiki/2021_Dutch_Grand_Prix
151,1048,2021,14,monza,45.6156,9.28111,Italy,2021-09-12,http://en.wikipedia.org/wiki/2021_Italian_Grand_Prix
152,1049,2021,15,sochi,43.4057,39.9578,Russia,2021-09-26,http://en.wikipedia.org/wiki/2021_Russian_Grand_Prix
153,1050,2021,16,istanbul,40.9517,29.405,Turkey,2021-10-10,http://en.wikipedia.org/wiki/2021_Turkish_Grand_Prix
154,1051,2021,17,americas,30.1328,-97.6411,USA,2021-10-24,http://en.wikipedia.org/wiki/2021_United_States_Grand_Prix
155,1052,2021,18,rodriguez,19.4042,-99.0907,Mexico,2021-11-07,http://en.wikipedia.org/wiki/2021_Mexican_Grand_Prix
156,1053,2021,19,interlagos,-23.7036,-46.6997,Brazil,2021-11-14,http://en.wikipedia.org/wiki/2021_S%C3%A3o_Paulo_Grand_Prix
157,1054,2021,20,losail,25.49,51.4542,Qatar,2021-11-21,http://en.wikipedia.org/wiki/2021_Qatar_Grand_Prix
158,1055,2021,21,jeddah,21.6319,39.1044,Saudi Arabia,2021-12-05,http://en.wikipedia.org/wiki/2021_Saudi_Arabian_Grand_Prix
159,1056,2021,22,yas_marina,24.4672,54.6031,UAE,2021-12-12,http://en.wikipedia.org/wiki/2021_Abu_Dhabi_Grand_Prix
160,1057,2022,1,bahrain,26.0325,50.5106,Bahrain,2022-03-20,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix
161,1058,2022,2,jeddah,21.6319,39.1044,Saudi Arabia,2022-03-27,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix
162,1059,2022,3,albert_park,-37.8497,144.968,Australia,2022-04-10,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix
163,1060,2022,4,imola,44.3439,11.7167,Italy,2022-04-24,http://en.wikipedia.org/wiki/2022_Emilia_Romagna_Grand_Prix
164,1061,2022,5,miami,25.9581,-80.2389,USA,2022-05-08,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix
165,1062,2022,6,catalunya,41.57,2.26111,Spain,2022-05-22,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix
166,1063,2022,7,monaco,43.7347,7.42056,Monaco,2022-05-29,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix
